SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	0	94	71	15821	148	0	0	1660	962	0	66215	179692	4103	99522	407	368695
19	0	120	107	32209	48	0	0	99	1016	0	257422	526314	6024	294380	1385	1119124
20	0	480	97	120472	156	0	0	601	1620	0	122320	333534	6351	187112	3262	776005
21	0	1945	133	527061	537	0	0	62159	4485	0	333600	1214235	25892	728553	39830	2938430
22	0	1424	143	1819282	549	0	0	101899	5992	0	188301	837756	18532	432374	4946	3411198
23	0	6424	282	531994	1119	0	0	142	16360	3	119314	593407	41204	205514	1505	1517268
24	0	8955	310	143288	1132	5	0	21	15415	0	65434	602165	55254	102116	570	994665
25	0	306	297	99015	64	0	0	252	501	0	27860	58796	13402	41614	110	242217
26	0	0	125	56033	9	0	0	0	71	0	12932	26191	15880	13479	10	124730
27	0	0	72	26680	0	0	0	0	81	0	6293	17317	13411	8835	33	72722
28	0	10	121	7872	0	0	0	0	87	0	9254	39592	29503	16677	3	103119
29	0	86	82	2377	0	0	0	27	32	0	1229	10238	13163	1991	0	29225
30	0	0	83	1296	0	0	0	0	56	0	156	58937	41207	244	267	102246
